Instance : lin318.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
10	42029	42137	42043.2
11	42029	42082	42032.4
12	42029	42040	42029.6
13	42029	42029	42029
trial...17
gene	min	max	ave
1	43647	46573	44674.7
2	42964	44747	43884.5
3	42624	44259	43389.1
4	42486	43597	43016.4
5	42249	43111	42706.5
6	42166	42792	42462.9
7	42111	42584	42290.8
8	42029	42334	42189.6
9	42029	42248	42129.6
10	42029	42174	42088.6
11	42029	42165	42063.3
12	42029	42083	42047.6
13	42029	42083	42035.6
14	42029	42083	42029.8
15	42029	42029	42029
trial...18
gene	min	max	ave
1	43607	46328	44831
2	43015	45079	44012.6
3	42835	44088	43456.9
4	42596	43723	43086.9
5	42315	43184	42800.8
6	42205	42902	42578.9
7	42130	42678	42401.3
8	42088	42520	42258
9	42029	42372	42166.1
10	42029	42345	42105.5
11	42029	42172	42063.9
12	42029	42129	42040.1
13	42029	42087	42030.4
14	42029	42029	42029
trial...19
gene	min	max	ave
1	43547	46140	44752.8
2	43099	44898	43911.9
3	42769	44272	43363
4	42487	43534	42982.8
5	42173	43197	42699.8
6	42122	42823	42482.2
7	42072	42649	42305.2
8	42029	42485	42186.5
9	42029	42387	42108.3
10	42029	42175	42058.9
11	42029	42097	42033.2
12	42029	42029	42029
trial...20
gene	min	max	ave
1	43360	46267	44797
2	42812	44913	43959.7
3	42566	44110	43384
4	42398	43625	42994
5	42264	43252	42683.1
6	42119	42847	42449.6
7	42062	42598	42279.3
8	42040	42362	42176.6
9	42029	42219	42115.8
10	42029	42157	42078.3
11	42029	42155	42047.7
12	42029	42094	42034
13	42029	42040	42029.8
14	42029	42040	42029.1
15	42029	42029	42029
opt count : 0
opt average : 42029
convergence generation : 14.5
