Instance : linhp318.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
trial...17
gene	min	max	ave
1	43524	46283	44756.5
2	43136	44843	43938.3
3	42539	44172	43408
4	42445	43692	43041.8
5	42361	43135	42750.7
6	42206	42911	42507.9
7	42107	42665	42314.4
8	42040	42366	42188
9	42029	42276	42119.8
10	42029	42155	42078.2
11	42029	42129	42054.1
12	42029	42094	42038.4
13	42029	42083	42030.8
14	42029	42029	42029
trial...18
gene	min	max	ave
1	43231	46129	44706.5
2	42729	44918	43900.6
3	42335	43991	43370.3
4	42210	43581	42993.2
5	42128	43076	42688.5
6	42066	42829	42461.2
7	42029	42646	42278.7
8	42029	42464	42163.3
9	42029	42285	42097.3
10	42029	42165	42055.5
11	42029	42123	42035
12	42029	42040	42029.1
13	42029	42029	42029
trial...19
gene	min	max	ave
1	43429	46059	44732.2
2	42971	44982	43910.8
3	42802	44034	43386.5
4	42450	43649	43002.6
5	42344	43226	42721.1
6	42206	42852	42503.2
7	42107	42668	42332
8	42062	42476	42213.2
9	42029	42315	42136.9
10	42029	42258	42092.5
11	42029	42142	42067.5
12	42029	42094	42052.2
13	42029	42091	42038
14	42029	42083	42029.8
15	42029	42029	42029
trial...20
gene	min	max	ave
1	43553	46492	44769.3
2	43086	45006	43918.9
3	42719	44084	43365.9
4	42534	43663	42993.9
5	42368	43189	42722.3
6	42241	42803	42519.8
7	42139	42621	42366.5
8	42083	42470	42251.5
9	42083	42344	42190.8
10	42029	42255	42153.4
11	42029	42228	42124.3
12	42029	42160	42100.4
13	42029	42143	42081.4
14	42029	42102	42069.9
15	42029	42094	42057.9
16	42029	42083	42042.8
17	42029	42083	42032.8
18	42029	42029	42029
opt count : 0
opt average : 42029
convergence generation : 14.5
