Instance : ali535.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
12	1983	1989	1985.57
13	1982	1986	1984.21
14	1982	1986	1983.21
15	1982	1986	1982.64
16	1982	1984	1982.18
17	1982	1983	1982.03
18	1982	1982	1982
trial...13
gene	min	max	ave
1	2077	2235	2138.14
2	2053	2143	2095.2
3	2036	2114	2065.4
4	2022	2070	2043.38
5	2007	2047	2027.52
6	2003	2028	2015.64
7	1997	2021	2007.23
8	1990	2010	2000.13
9	1987	2003	1994.64
10	1984	1996	1990.59
11	1983	1992	1987.78
12	1982	1989	1985.85
13	1982	1988	1984.54
14	1982	1986	1983.3
15	1982	1985	1982.46
16	1982	1983	1982.11
17	1982	1983	1982.02
18	1982	1982	1982
trial...14
gene	min	max	ave
1	2085	2209	2137.41
2	2059	2137	2095.61
3	2028	2100	2065.02
4	2021	2069	2042.92
5	2010	2045	2027.08
6	2002	2031	2015.62
7	1996	2018	2006.53
8	1989	2009	1999.48
9	1987	2004	1994.26
10	1985	1995	1990.37
11	1983	1992	1987.49
12	1982	1989	1985.26
13	1982	1987	1983.66
14	1982	1985	1982.73
15	1982	1984	1982.18
16	1982	1983	1982.02
17	1982	1983	1982.01
18	1982	1982	1982
trial...15
gene	min	max	ave
1	2085	2215	2140.51
2	2060	2142	2098.06
3	2031	2099	2066.96
4	2018	2070	2045.19
5	2010	2051	2028.49
6	2002	2033	2016.2
7	1995	2017	2007.37
8	1990	2009	2000.41
9	1986	2003	1995.18
10	1985	1997	1991.16
11	1985	1993	1988.28
12	1984	1989	1986.33
13	1983	1987	1984.95
14	1982	1986	1984.02
15	1982	1985	1983.39
16	1982	1984	1982.82
17	1982	1984	1982.34
18	1982	1983	1982.05
19	1982	1982	1982
trial...16
gene	min	max	ave
1	2085	2226	2139.89
2	2052	2163	2096.69
3	2028	2095	2063.97
4	2006	2070	2041.78
5	2002	2050	2026.16
6	1999	2029	2013.92
7	1995	2018	2004.62
8	1990	2006	1998.03
9	1988	1999	1993.07
10	1985	1995	1989.47
11	1984	1990	1986.74
12	1982	1988	1985.2
13	1982	1986	1984.28
14	1982	1985	1983.44
15	1982	1985	1982.79
16	1982	1984	1982.32
17	1982	1983	1982.04
18	1982	1982	1982
trial...17
gene	min	max	ave
1	2070	2241	2143.49
2	2044	2153	2099.42
3	2037	2111	2068.18
4	2018	2067	2045.05
5	2006	2046	2027.77
6	2003	2033	2015.44
7	1996	2020	2006.27
8	1990	2010	1999.45
9	1988	2001	1994.43
10	1985	1995	1990.65
11	1983	1991	1987.82
12	1982	1989	1985.61
13	1982	1987	1983.81
14	1982	1985	1982.62
15	1982	1984	1982.15
16	1982	1983	1982.01
17	1982	1982	1982
trial...18
gene	min	max	ave
1	2068	2257	2143.67
2	2052	2145	2100.55
3	2038	2103	2068.55
4	2024	2071	2046.28
5	2012	2046	2029.41
6	2002	2035	2017.16
7	1996	2019	2007.6
8	1992	2011	2000.48
9	1987	2004	1995.15
10	1986	1997	1991.06
11	1984	1991	1988.15
12	1983	1989	1986.11
13	1983	1988	1984.79
14	1982	1986	1983.87
15	1982	1985	1983.24
16	1982	1985	1982.73
17	1982	1983	1982.4
18	1982	1983	1982.17
19	1982	1983	1982.06
20	1982	1983	1982.01
21	1982	1982	1982
trial...19
gene	min	max	ave
1	2071	2224	2143.89
2	2053	2170	2100.26
3	2036	2110	2067.41
4	2018	2084	2045.05
5	2014	2051	2028.64
6	2002	2029	2016.49
7	1996	2019	2007.49
8	1992	2008	2000.16
9	1987	2001	1994.92
10	1986	1997	1990.85
11	1983	1992	1987.82
12	1983	1989	1985.69
13	1982	1987	1984.39
14	1982	1986	1983.62
15	1982	1984	1983.04
16	1982	1984	1982.58
17	1982	1984	1982.23
18	1982	1983	1982.05
19	1982	1983	1982.01
20	1982	1982	1982
trial...20
gene	min	max	ave
1	2073	2232	2146.18
2	2059	2193	2102.75
3	2043	2110	2070.91
4	2027	2071	2047.52
5	2014	2051	2030.17
6	2003	2033	2017.72
7	1993	2018	2008.61
8	1992	2010	2001.49
9	1990	2003	1996.31
10	1986	1999	1992.01
11	1984	1993	1988.99
12	1984	1991	1986.84
13	1983	1989	1985.52
14	1982	1987	1984.58
15	1982	1986	1983.79
16	1982	1985	1983.07
17	1982	1984	1982.47
18	1982	1984	1982.12
19	1982	1983	1982.01
20	1982	1982	1982
opt count : 0
opt average : 1982
convergence generation : 19.4
