Instance : att532.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
2	89771	93619	91828.5
3	89357	92332	90714.3
4	88893	91031	89849.9
5	88399	90208	89146.2
6	87813	89288	88577.2
7	87450	88855	88115.5
8	87199	88373	87738.1
9	87111	87793	87451.4
10	86949	87485	87241.3
11	86901	87280	87091.9
12	86863	87180	86990.6
13	86818	87042	86919.7
14	86796	86975	86870.8
15	86757	86908	86835.7
16	86751	86877	86813.1
17	86751	86839	86798.5
18	86751	86819	86787
19	86751	86806	86778.1
20	86751	86792	86769.1
21	86751	86792	86759.4
22	86751	86782	86752.8
23	86751	86782	86751.3
24	86751	86751	86751
trial...12
gene	min	max	ave
1	90972	96001	93410.6
2	90280	93416	91841.9
3	89276	91706	90689.7
4	88708	90849	89822.8
5	88267	90029	89152.7
6	87860	89218	88607.7
7	87501	88724	88136
8	87339	88374	87767.4
9	87145	87875	87477
10	86963	87602	87249.5
11	86901	87268	87082.5
12	86802	87174	86957.6
13	86775	86989	86871.9
14	86752	86919	86816.2
15	86751	86846	86784.5
16	86751	86808	86765.8
17	86751	86793	86755.4
18	86751	86784	86751.8
19	86751	86752	86751.1
20	86751	86751	86751
trial...13
gene	min	max	ave
1	91385	95572	93284.1
2	90080	93392	91736.1
3	89372	92231	90566.5
4	88410	90608	89673.5
5	88081	89875	88967.1
6	87785	89255	88421.7
7	87280	88628	87974.4
8	87139	88168	87620.4
9	87053	87841	87347.8
10	86901	87461	87156.9
11	86900	87202	87026.2
12	86854	87076	86942.6
13	86824	86969	86884.2
14	86800	86910	86846.4
15	86796	86877	86822
16	86791	86843	86807.8
17	86789	86816	86799.7
18	86786	86812	86793.5
19	86786	86807	86790
20	86786	86796	86787.6
21	86786	86792	86786.3
22	86786	86786	86786
trial...14
gene	min	max	ave
1	91448	95811	93283.7
2	90119	93807	91769.7
3	89314	91736	90610.3
4	88978	90638	89756.2
5	88340	89870	89070.2
6	87932	89530	88526.3
7	87578	88615	88081.1
8	87280	88121	87723.9
9	87097	87730	87450
10	87022	87631	87251
11	86886	87338	87095.9
12	86840	87180	86984.1
13	86796	87047	86901.3
14	86791	86955	86848.8
15	86786	86915	86817.5
16	86786	86863	86796.9
17	86786	86808	86787.4
18	86786	86790	86786.2
19	86786	86788	86786
20	86786	86786	86786
trial...15
gene	min	max	ave
1	91356	96993	93346.3
2	90321	93804	91800.1
3	89558	91645	90681.2
4	88830	90612	89813.1
5	88177	90018	89137.2
6	87761	89297	88552.3
7	87409	88730	88131.2
8	87264	88279	87749.6
9	87113	87939	87451
10	87055	87575	87246.7
11	86914	87326	87105.7
12	86865	87174	87007.7
13	86846	87055	86937.6
14	86798	86965	86884.6
15	86793	86932	86842.4
16	86788	86882	86812.2
17	86771	86830	86796.7
18	86766	86810	86789.4
19	86766	86800	86786.3
20	86762	86788	86783.8
21	86762	86788	86780.5
22	86762	86788	86775.1
23	86762	86788	86769
24	86762	86784	86764
25	86762	86784	86762.4
26	86762	86762	86762
trial...16
gene	min	max	ave
1	90865	95781	93165
2	90215	93244	91634.9
3	89480	92001	90546.2
4	88760	90665	89653.8
5	87993	89788	88973.8
6	87764	89229	88459.7
7	87560	88624	88038.4
8	87158	88117	87687.8
9	87071	87970	87433.2
10	86993	87563	87241.7
11	86939	87336	87100.1
12	86889	87134	86994.9
13	86825	87045	86917.1
14	86797	86954	86867.2
15	86782	86911	86832.3
16	86736	86871	86805.7
17	86729	86833	86787
18	86729	86822	86774.7
19	86729	86795	86763.2
20	86729	86788	86748.9
21	86729	86788	86735.8
22	86729	86760	86729.7
23	86729	86729	86729
trial...17
gene	min	max	ave
1	91201	95841	93285.2
2	90153	93668	91721.2
3	89527	91657	90575.1
4	88863	90573	89723.9
5	88246	89872	89069.3
6	88014	89329	88555.7
7	87607	88705	88159.7
8	87346	88237	87823.2
9	87208	87878	87534.7
10	87072	87643	87332.3
11	86996	87380	87178.1
12	86883	87274	87063.8
13	86823	87173	86970.8
14	86808	87036	86904
15	86800	86951	86858
16	86777	86908	86826.2
17	86766	86876	86805.1
18	86766	86816	86792.9
19	86766	86805	86786.8
20	86766	86794	86781.9
21	86766	86790	86776.5
22	86766	86789	86771.3
23	86766	86786	86767.5
24	86766	86773	86766.2
25	86766	86766	86766
trial...18
gene	min	max	ave
1	91223	95674	93264.6
2	90047	93682	91764.1
3	89546	91969	90640.5
4	88882	90793	89755.1
5	88332	89952	89089.7
6	87790	89330	88545.4
7	87469	88695	88132.1
8	87357	88358	87772.3
9	87165	87924	87478.9
10	87013	87639	87260.3
11	86916	87279	87102.1
12	86854	87202	86988.4
13	86809	87010	86903.7
14	86751	86927	86847.8
15	86730	86881	86802.2
16	86729	86828	86769.5
17	86729	86794	86746.1
18	86729	86788	86734.7
19	86729	86752	86729.7
20	86729	86729	86729
trial...19
gene	min	max	ave
1	90813	95190	93227.6
2	89779	93594	91706.6
3	89290	91696	90551.7
4	88649	90620	89707.2
5	88187	89868	89055
6	87827	89383	88546.8
